"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000007168",1745.30428262228,0.692916735713957,0.388456492328511,15.3244558803991,0.0178778640756285,0.0725197097735338,"PAFAH1B1"
"ENSG00000153904",234.5070615136,1.53852649363288,1.69706438272638,15.3225399452171,0.0178910929036877,0.0725481169153457,"DDAH1"
"ENSG00000213923",657.252413002243,0.671639358700149,0.425137256879212,15.3223048886576,0.0178927165278367,0.0725481169153457,"CSNK1E"
"ENSG00000041880",350.185743058532,2.76273408081511,0.973474977416292,15.3209745577518,0.0179019082820178,0.0725694681125219,"PARP3"
"ENSG00000128578",88.2534403636944,-4.67639709525974,2.0209440898425,15.319000695252,0.0179155547640318,0.0726088642431763,"STRIP2"
"ENSG00000272979",31.0534525435136,-7.65530871791293,2.55816006800786,15.315879205141,0.0179371557986304,0.0726804745588959,NA
"ENSG00000134516",1932.66719007656,0.751805994051559,0.451348935951698,15.3143213834648,0.0179479454070178,0.0727082557196416,"DOCK2"
"ENSG00000135604",27.5571624245405,-5.22959319896037,2.7674124328778,15.3051525918407,0.0180115752172191,0.0729500367857791,"STX11"
"ENSG00000188352",742.179465765552,-1.32959072929403,0.447165858646429,15.3020448530953,0.0180331913222449,0.0730215863289589,"FOCAD"
"ENSG00000165733",1514.81274429527,0.829195657051052,0.497506970701327,15.2952348499589,0.0180806456302042,0.0731977079444425,"BMS1"
"ENSG00000149485",1103.90347948901,-0.419688692401938,0.421208622722116,15.293367363507,0.0180936797428446,0.07323443618272,"FADS1"
"ENSG00000111962",71.6278098517245,3.44776401525972,2.71153523534066,15.2860910443021,0.0181445505886482,0.0734242595514802,"UST"
"ENSG00000146909",221.99558108942,0.108138075888424,1.30392248576368,15.282629791562,0.0181687972084992,0.0734911618774834,"NOM1"
"ENSG00000166669",3524.78442491618,-0.0730930499304216,0.518481215574637,15.2820851890473,0.0181726150562494,0.0734911618774834,"ATF7IP2"
"ENSG00000183207",1067.97147341718,-0.807065118202776,0.498151079471416,15.2820287723773,0.0181730106000528,0.0734911618774834,"RUVBL2"
"ENSG00000167645",387.33379134851,-2.7596440434248,1.21095620495666,15.2732319784394,0.0182347868196134,0.0737248544095701,"YIF1B"
"ENSG00000106404",141.73436373029,1.25882481341836,1.27383516407472,15.2717949707839,0.0182448973973913,0.0737496016599122,"CLDN15"
"ENSG00000158321",323.144356104887,-1.1818758785799,0.684798764207848,15.2710245284756,0.018250320326283,0.0737553937978444,"AUTS2"
"ENSG00000084207",20459.8351245786,-0.221831965147399,0.169877651506204,15.2688437028718,0.0182656789121232,0.0738013278012236,"GSTP1"
"ENSG00000092098",26.0084580683977,-1.53684625706824,1.40753323698994,15.2667434112366,0.0182804820212924,0.0738288639203823,"RNF31"
"ENSG00000162407",100.071838545152,7.13409130577964,2.67738801031169,15.2672625987252,0.0182768216576052,0.0738288639203823,"PLPP3"
"ENSG00000062822",39.2832058066641,-5.2277142920082,1.6932976778553,15.2627163152522,0.0183088975871103,0.0739274731100335,"POLD1"
"ENSG00000227638",20.8253088396965,4.73041211461571,2.00766338860104,15.2614029364497,0.0183181740449871,0.0739487764187783,NA
